10  10
1    2     3     4     5.3  -12     1.2    1.1   0    5      4    3
6    7     8     9     10    3.12   2.92   1.1   0    1      1    2
11   12    3     5     3     4.2    3.4    1     0.1  0.1   -1   -2
0.1 -0.32  0.4   70    12    1      2      3     4    2      3    0.001
0 1  0    -1     0    -70    5      5      6     7   -10     20   80
5    7     8.2   9.1   12    3.12   2.92   1.1   0    12     11   10
0 1  0.3   10    0.1  -70    5      5      6     7    9      9    9
11   12    3     5.5    3    4.2    3.3    1     0.2  0.1   -1   -20
0.1  1.2   0.1  -10     0   -70     5      5.5   6    7     -1    2
10   10    3     0.1  -0.1   71     5.0    5     6    7.14   9    0.9
